Diagnosis,LOS (days),Frequency
A,0,53
A,1,85
A,2,54
A,3,71
A,4,68
A,5,62
A,6,59
A,7,72
A,8,73
A,9,75
A,10,87
A,11,82
A,12,50
A,13,78
A,14,90
A,15,98
A,16,54
A,17,44
A,18,44
A,19,49
A,20,40
A,21,67
A,22,41
A,23,36
A,24,64
A,25,22
A,26,27
A,27,22
A,28,39
A,29,30
A,30,32
A,31,34
A,32,21
A,33,18
A,34,19
A,35,37
A,36,16
A,37,31
A,38,37
A,39,23
A,40,36
A,41,21
A,42,23
A,43,35
A,44,8
A,45,22
A,46,33
A,47,15
A,48,19
A,49,15
A,50,15
A,51,10
A,52,7
A,53,11
A,54,13
A,55,11
A,56,20
A,57,18
A,58,6
A,59,37
A,60,6
A,61,16
A,62,2
A,63,8
A,64,3
A,66,11
A,67,4
A,68,8
A,70,4
A,71,5
A,72,5
A,73,7
A,74,1
A,75,11
A,76,11
A,77,14
A,78,5
A,79,9
A,81,14
A,82,2
A,84,8
A,85,4
A,87,31
A,88,7
A,89,4
A,91,4
A,94,2
A,96,6
A,97,5
A,100,2
A,102,4
A,107,2
A,109,12
A,110,5
A,111,2
A,114,8
A,117,6
A,118,4
A,119,6
A,120,2
A,121,1
A,122,1
A,123,1
A,124,5
A,125,2
A,128,1
A,133,1
A,138,1
A,139,6
A,140,2
A,141,14
A,146,1
A,147,5
A,148,4
A,150,1
A,151,1
A,152,1
A,159,2
A,163,1
A,166,4
A,172,1
A,174,4
A,180,2
A,181,3
A,184,4
A,186,12
A,191,2
A,192,4
A,193,4
A,209,4
A,214,2
A,215,4
A,231,2
A,232,2
A,245,2
A,261,6
A,262,6
B,0,63
B,1,209
B,2,126
B,3,199
B,4,142
B,5,140
B,6,133
B,7,190
B,8,154
B,9,115
B,10,128
B,11,94
B,12,99
B,13,141
B,14,117
B,15,128
B,16,125
B,17,119
B,18,98
B,19,57
B,20,121
B,21,112
B,22,128
B,23,61
B,24,53
B,25,79
B,26,73
B,27,79
B,28,111
B,29,89
B,30,81
B,31,86
B,32,33
B,33,30
B,34,31
B,35,53
B,36,55
B,37,60
B,38,64
B,39,25
B,40,25
B,41,44
B,42,44
B,43,32
B,44,22
B,45,54
B,46,46
B,47,37
B,48,10
B,49,23
B,50,38
B,51,23
B,52,33
B,53,36
B,54,34
B,55,23
B,56,25
B,57,17
B,58,31
B,59,34
B,60,17
B,61,33
B,62,13
B,63,16
B,64,7
B,65,9
B,66,8
B,67,5
B,68,9
B,69,13
B,70,3
B,71,24
B,72,6
B,73,1
B,74,5
B,75,8
B,76,13
B,77,14
B,78,13
B,79,13
B,80,12
B,81,16
B,82,4
B,84,20
B,85,19
B,86,1
B,87,18
B,88,10
B,89,17
B,91,1
B,92,2
B,94,1
B,95,2
B,96,2
B,97,1
B,98,1
B,99,1
B,102,15
B,105,3
B,106,4
B,107,4
B,109,6
B,111,4
B,117,4
B,118,6
B,119,12
B,120,4
B,123,3
B,124,5
B,125,4
B,127,1
B,129,2
B,130,1
B,131,4
B,132,1
B,133,2
B,135,4
B,137,2
B,138,6
B,139,6
B,140,8
B,141,26
B,142,4
B,143,2
B,146,3
B,147,19
B,148,2
B,150,5
B,152,3
B,154,2
B,155,14
B,156,6
B,159,6
B,166,4
B,171,1
B,174,4
B,184,4
B,186,12
B,191,1
